,var,KS2samp_Fstat,KS2samp_pvalue,WassersteinDist,P,Q,n_clusters,pivotLength
186,PRICE,0.144349315068,2.82650876975e-145,10693.5735923,3.0,1.0,8.0,40.0
187,PRICE,0.16950913242,1.61027265888e-200,12468.6581011,3.0,1.0,8.0,60.0
188,PRICE,0.168652968037,1.72145430602e-198,16131.9355699,3.0,1.0,8.0,73.0
189,PRICE,0.159086757991,1.55111712063e-176,8232.74088911,3.0,1.0,8.0,120.0
190,PRICE,0.136278538813,1.81887731615e-129,11210.0004547,3.0,1.0,12.0,24.0
191,PRICE,0.12703196347,1.72117168254e-112,7083.18684108,3.0,1.0,12.0,40.0
192,PRICE,0.173173515982,2.53275899453e-209,12864.5792447,3.0,1.0,12.0,60.0
193,PRICE,0.19203196347,1.07138910126e-257,14582.9762709,3.0,1.0,12.0,73.0
194,PRICE,0.117271689498,6.97509623676e-96,11260.1317864,3.0,1.0,12.0,120.0
195,PRICE,0.110924657534,8.37079515657e-86,11033.9974858,3.0,1.0,16.0,24.0
196,PRICE,0.122134703196,5.45639929112e-104,6409.14676854,3.0,1.0,16.0,40.0
197,PRICE,0.149817351598,1.63771176014e-156,9240.91737798,3.0,1.0,16.0,60.0
198,PRICE,0.117888127854,6.82974108735e-97,10140.0790856,3.0,1.0,16.0,73.0
199,PRICE,0.112933789954,6.21681583848e-89,8813.71691941,3.0,1.0,16.0,120.0
200,PRICE,0.245114155251,0.0,13041.9836387,3.0,2.0,4.0,24.0
201,PRICE,0.212420091324,8.11200880015e-316,12623.8304431,3.0,2.0,4.0,40.0
202,PRICE,0.223093607306,0.0,13267.8737998,3.0,2.0,4.0,60.0
203,PRICE,0.224429223744,0.0,12737.1083858,3.0,2.0,4.0,73.0
204,PRICE,0.191415525114,4.92831046346e-256,17607.5250736,3.0,2.0,4.0,120.0
205,PRICE,0.237420091324,0.0,22198.6747755,3.0,2.0,8.0,24.0
206,PRICE,0.170742009132,1.84764523849e-203,12667.3542508,3.0,2.0,8.0,40.0
207,PRICE,0.166666666667,7.99059437718e-194,12442.5522347,3.0,2.0,8.0,60.0
208,PRICE,0.207305936073,1.1487180048e-300,11367.6713946,3.0,2.0,8.0,73.0
209,PRICE,0.175228310502,2.41271873625e-214,8654.48488252,3.0,2.0,8.0,120.0
210,PRICE,0.184132420091,8.31516763055e-237,7782.32140913,3.0,2.0,12.0,24.0
211,PRICE,0.140068493151,8.94369319318e-137,7003.49379101,3.0,2.0,12.0,40.0
